CustomerNo,TotalQuantity,TotalPrice
14646.0,197420,2112282.0300000003
16446.0,80997,1002741.57
14911.0,80383,914633.52
12415.0,77669,900545.54
12346.0,74215,840113.8
17450.0,69993,891438.53
17511.0,64549,639006.19
18102.0,64124,897137.3600000001
13694.0,63860,646116.78
14298.0,58343,636167.17
14156.0,57845,694965.02
16684.0,49955,528587.3400000001
16029.0,40207,435532.14
15311.0,38124,392033.09
16422.0,33704,381043.45
17404.0,32744,365681.2
16333.0,32184,349966.23999999993
13089.0,31110,354882.55
17949.0,30450,348200.27
15769.0,29672,204746.44
15061.0,28920,333977.12
12931.0,28574,320853.10000000003
17381.0,25649,281942.68
12748.0,25514,271206.94
13798.0,23948,248927.53000000003
12901.0,23075,244287.79
17841.0,23050,255508.58
13081.0,19154,212622.48
15838.0,18403,189064.64
15749.0,18028,230408.4
13027.0,17280,184204.8
14096.0,16334,177814.26
13408.0,16232,175237.05
13098.0,15968,160510.77
16013.0,15845,194081.07
17857.0,14822,168410.97999999998
13777.0,14565,150785.02000000002
15941.0,14149,184880.85
14365.0,13956,184148.76
14680.0,13475,126356.73
14088.0,12649,152390.56
13256.0,12540,77622.6
17306.0,11491,120657.72999999998
15159.0,11441,129213.38
12753.0,11421,136322.73
12433.0,11062,115454.49
15856.0,11002,119379.62
12678.0,10997,120696.22
14607.0,10734,107942.72
16843.0,10159,108933.74
12830.0,10154,112345.34000000004
13881.0,10118,111928.38
17677.0,9775,83135.63
17940.0,9754,102301.66
12921.0,9526,94853.69
17428.0,9474,99827.67
12971.0,9289,100914.98
15039.0,9200,100664.72
16839.0,8975,100974.75
16656.0,8894,100009.66
16133.0,8887,99873.97
17735.0,8439,80240.90000000001
12731.0,8429,102510.58
17675.0,8359,97116.99
16729.0,8235,78722.12
12471.0,8104,91010.72
16308.0,8000,84640.0
13767.0,7955,98939.8
18251.0,7824,84622.07999999999
17389.0,7612,98926.42
16210.0,7558,84327.78000000001
12681.0,7457,86451.57999999999
14769.0,7435,85049.39
18079.0,7432,79916.54999999999
16525.0,7397,84842.98000000001
12621.0,7379,78791.82999999999
15358.0,7050,77004.69
14609.0,7026,72625.26000000001
14258.0,6980,75235.94
15640.0,6971,77068.25
13316.0,6948,77324.18999999999
14101.0,6942,77295.35999999999
14866.0,6756,82481.14
16745.0,6735,73016.23999999999
17017.0,6684,71541.05
12451.0,6660,74247.09
12540.0,6620,79521.30000000002
12754.0,6481,69523.14000000001
16701.0,6393,67187.76999999999
14194.0,6243,71834.95000000001
14606.0,6205,72822.37999999999
15125.0,6193,65083.36
13199.0,6175,69775.95999999999
15251.0,6171,70145.45
15189.0,6149,74866.47
15498.0,6105,70473.34
14796.0,5989,67479.65
17340.0,5967,73680.41
14203.0,5963,78231.14
17581.0,5927,56242.15
13069.0,5885,63353.94
16180.0,5867,44407.4
16592.0,5834,68601.81
16187.0,5824,65886.45000000001
13340.0,5770,66186.45
17865.0,5756,69781.68
15513.0,5709,73038.72
15194.0,5703,61262.55
14849.0,5695,64599.98
14031.0,5694,74320.62
13078.0,5630,64169.67
18139.0,5557,58913.05
12409.0,5551,66730.26000000001
15615.0,5508,56739.98
13458.0,5508,62678.34000000001
13001.0,5505,63683.15
16705.0,5476,65877.78
13018.0,5435,60984.7
12682.0,5418,58286.29
14062.0,5413,58384.630000000005
14060.0,5386,60410.58000000001
14667.0,5384,58911.95
16558.0,5377,58736.0
16779.0,5325,60182.93
14585.0,5286,67937.22
12798.0,5256,52015.44
12744.0,5234,63480.95
13324.0,5205,60652.68999999999
17139.0,5182,52971.44
17434.0,5130,64654.95
16000.0,5110,31630.9
14739.0,5106,58681.03999999999
15078.0,5105,44586.91
13685.0,5061,51381.95
12583.0,5028,56248.77
15482.0,5019,50403.34
16722.0,5001,49517.84
12557.0,4984,46887.02
15601.0,4983,56946.91
12524.0,4971,57952.31
13135.0,4963,55274.44
12683.0,4934,55540.22
14057.0,4876,53914.5
12939.0,4876,53913.03999999999
14895.0,4851,57562.84
17107.0,4837,54302.23
12474.0,4823,55889.61
13004.0,4822,52053.92999999999
13263.0,4773,52119.89
17365.0,4765,51335.57
15939.0,4727,54699.03999999999
13319.0,4724,55079.03
14286.0,4669,52438.51
17596.0,4658,50791.94
16746.0,4656,45478.83
12720.0,4636,48257.01999999999
13488.0,4628,55695.84999999999
16553.0,4600,53013.4
13969.0,4542,46665.350000000006
14401.0,4507,48573.99999999999
15290.0,4500,48622.76000000001
15475.0,4455,53161.91
14367.0,4438,45721.08
16767.0,4435,48255.86
13266.0,4428,46730.21000000001
15555.0,4409,46517.26
14159.0,4401,47251.87
12867.0,4376,47856.77
13629.0,4372,30492.24
13082.0,4324,47783.04
15547.0,4308,48423.01999999999
17416.0,4302,48472.49
16754.0,4280,45914.4
14056.0,4280,48262.27
16713.0,4276,50259.61
16523.0,4265,38010.69
12567.0,4258,49397.22
13209.0,4253,47038.43
18092.0,4252,51683.72
15502.0,4246,49213.67
15005.0,4245,46073.44
18109.0,4237,47594.26999999999
14936.0,4229,49642.07000000001
16182.0,4224,32235.68
12590.0,4222,49891.4
13102.0,4204,47801.350000000006
17811.0,4176,48404.19
17602.0,4151,42935.990000000005
12472.0,4120,47779.490000000005
18198.0,4074,46294.34
15093.0,4032,47088.95
16700.0,4024,41255.13
14533.0,4019,43069.920000000006
15382.0,4012,40748.55
12347.0,3971,38321.9
12705.0,3970,44897.24
13093.0,3958,43563.5
14189.0,3937,42353.5
13418.0,3924,44917.55
12709.0,3921,47631.61
18087.0,3906,43317.54
17750.0,3906,40650.84000000001
17706.0,3899,47278.36
16401.0,3882,36723.86
14049.0,3870,35608.19
17315.0,3862,44542.2
14135.0,3862,43102.87
16873.0,3840,39748.71
18041.0,3819,41769.630000000005
12839.0,3807,39680.04
14733.0,3764,47466.75
13050.0,3747,42734.59
13668.0,3742,42658.09
14961.0,3708,40760.5
16191.0,3707,42693.16
14291.0,3704,34318.25
13848.0,3700,39218.0
14800.0,3694,41273.59
17744.0,3680,34337.59
16837.0,3679,47741.26
12955.0,3664,36287.4
14191.0,3662,35380.97
15150.0,3658,41899.8
12477.0,3653,50865.6
15218.0,3636,38171.06
12766.0,3627,40429.880000000005
14688.0,3621,39668.7
12428.0,3594,41864.40999999999
13268.0,3582,37536.5
15249.0,3577,39734.4
17730.0,3576,39898.7
12876.0,3572,44396.47
13178.0,3570,32603.11
16549.0,3569,39969.380000000005
16033.0,3537,43809.54
17509.0,3534,42487.2
15372.0,3526,37907.99
14146.0,3523,32019.310000000005
13709.0,3516,40338.64
13269.0,3514,37039.17
15529.0,3495,38059.100000000006
15544.0,3473,37094.27
13113.0,3472,47733.65
18226.0,3466,34784.38
13148.0,3458,42171.97
14051.0,3455,45799.990000000005
15046.0,3450,39660.91
16240.0,3448,45321.49
13985.0,3447,35035.54
13225.0,3419,31305.92
16923.0,3417,38918.36
12626.0,3416,38860.21
15805.0,3387,38467.53
13750.0,3374,54837.850000000006
14132.0,3368,35399.630000000005
17243.0,3366,39657.42
15786.0,3364,39285.12
12619.0,3360,35213.990000000005
12714.0,3357,33836.55
14952.0,3355,42627.91
12481.0,3345,38509.41
14415.0,3320,32660.13
17757.0,3319,36644.92
13599.0,3292,33550.0
16652.0,3285,40615.33
14085.0,3256,34465.37
18225.0,3244,34304.98
16253.0,3233,36912.0
17716.0,3203,37618.14
12757.0,3202,32617.48
13756.0,3188,35456.83
18172.0,3184,38633.44
12841.0,3182,36652.08
16931.0,3158,34339.07
15484.0,3152,31117.43
17651.0,3137,31376.22
14776.0,3134,34723.100000000006
12726.0,3132,34574.16
16145.0,3123,34302.13
15298.0,3116,32596.3
17338.0,3110,38595.23
18073.0,3104,35736.26
15114.0,3096,34318.34
17593.0,3095,31509.620000000003
14329.0,3095,34025.59
17426.0,3094,33313.03
13871.0,3082,36406.34
15727.0,3065,35206.72
14426.0,3056,37372.79
15144.0,3050,33408.08
13988.0,3044,34906.850000000006
12490.0,3033,30866.64
17512.0,3029,35003.71
12688.0,3028,35660.99
16983.0,3028,25193.99
16186.0,3020,32765.11
13468.0,3011,36521.54
16258.0,2994,34683.03
12637.0,2991,34186.79000000001
15738.0,2982,35497.399999999994
13451.0,2981,36597.16
13949.0,2971,30393.340000000004
15032.0,2968,21334.49
13534.0,2963,25912.69
15299.0,2947,34203.270000000004
18223.0,2945,33450.55
12700.0,2944,30043.5
12989.0,2943,36804.07
12553.0,2927,33396.7
12431.0,2908,35118.119999999995
14422.0,2906,33035.840000000004
12437.0,2894,33137.619999999995
14456.0,2871,28949.64
15023.0,2862,34039.55
18118.0,2861,33110.270000000004
16607.0,2859,32736.35
17160.0,2854,27524.79
17203.0,2850,32786.119999999995
16672.0,2832,36868.58
14944.0,2815,34897.009999999995
12536.0,2804,32970.53999999999
17133.0,2795,32885.99
15044.0,2793,36061.34999999999
12779.0,2787,34260.57000000001
14418.0,2785,28750.33
15301.0,2775,33082.71000000001
17858.0,2773,32418.88
16814.0,2761,34505.8
15065.0,2760,35954.43
14505.0,2756,33283.740000000005
16219.0,2744,20078.03
12627.0,2739,27855.800000000003
16945.0,2737,25520.27
13911.0,2731,30575.78
15719.0,2724,28340.06
13953.0,2724,29945.4
15152.0,2704,29483.43
13162.0,2702,31908.109999999997
17364.0,2701,30254.25
12357.0,2699,33893.72
14525.0,2696,31919.35
16626.0,2690,29243.19
17049.0,2673,29252.41
14004.0,2669,28123.01
14547.0,2668,25946.55
14282.0,2668,24948.46
12500.0,2666,31366.81
13555.0,2660,30730.17
16303.0,2659,28756.33
16265.0,2659,29207.5
17758.0,2651,31389.04
13955.0,2650,35765.21
13198.0,2648,27903.21
13576.0,2646,32250.43
17863.0,2638,29979.08
16327.0,2634,27548.42
17567.0,2632,29487.550000000003
18145.0,2625,24708.380000000005
17652.0,2624,30114.03
14321.0,2617,26875.24
13588.0,2606,28142.28
16394.0,2604,28283.67
16161.0,2594,26147.97
13437.0,2591,33736.3
13802.0,2572,25749.800000000003
17966.0,2571,27479.520000000004
14005.0,2568,23383.99
15804.0,2564,29149.14
14388.0,2564,27812.02
17611.0,2560,28957.75
16670.0,2556,29170.07
12957.0,2549,26663.120000000003
15730.0,2546,22959.890000000003
15861.0,2544,25419.67
13815.0,2540,27392.05
16938.0,2537,27501.48
15874.0,2534,31922.91
12378.0,2529,29410.6
18094.0,2518,28508.040000000005
17920.0,2514,27223.76
14414.0,2512,27282.32
12640.0,2502,37688.39
14676.0,2500,28237.92
17613.0,2496,29004.840000000004
15492.0,2493,18230.28
13784.0,2493,27892.46
18229.0,2488,24825.58
14709.0,2484,20266.92
17686.0,2478,26591.23
13505.0,2467,29009.28
17719.0,2466,30804.52
14110.0,2457,27970.59
18055.0,2455,29532.6
17068.0,2425,23329.61
13139.0,2425,24825.46
16984.0,2423,29254.98
15034.0,2422,27696.3
13384.0,2422,26053.42
16609.0,2420,23794.5
12473.0,2419,26705.23
15903.0,2410,28565.840000000004
17554.0,2401,27716.96
16678.0,2397,24951.94
15157.0,2392,24102.21
13394.0,2392,26096.450000000004
14930.0,2391,29228.25
15505.0,2390,28199.980000000003
15113.0,2385,22924.45
12949.0,2381,28495.06
